country,year,gdp,literacy_rate,schooling,population_historical,gdp_per_school_year
singapore,2015,108953.73,97.0,12.54,5525343.0,54.071330024813896
singapore,2020,115893.04,97.0,13.06,5620151.0,57.37279207920792
south africa,2010,14164.996,93.0,9.89,52344047.0,7.047261691542288
south africa,2015,14541.675,94.0,10.15,56723536.0,7.2167121588089325
spain,2005,43570.766,98.0,10.64,43958883.0,21.731055361596013
spain,2010,42695.527,98.0,10.75,46840469.0,21.241555721393034
spain,2015,43053.76,98.0,11.24,46683683.0,21.366630272952854
spain,2020,41553.45,99.0,11.51,47679482.0,20.571014851485145
sri lanka,2010,9832.187,91.0,10.67,20879092.0,4.891635323383085
sri lanka,2020,13886.651,92.0,10.33,22561808.0,6.874579702970297
sudan,2000,3575.852,61.0,3.09,27816748.0,1.787926
tanzania,2015,3111.4446,78.0,6.41,52020958.0,1.544141240694789
thailand,2000,11622.525,93.0,6.09,63007815.0,5.8112625
thailand,2005,14458.255,94.0,7.46,66017415.0,7.211099750623441
thailand,2010,16730.37,96.0,8.47,68579443.0,8.323567164179105
thailand,2015,18811.998,93.0,8.71,70540787.0,9.335979156327543
togo,2000,2160.9893,53.0,5.05,4783721.0,1.0804946500000001
togo,2015,2388.426,64.0,6.85,7071500.0,1.185323076923077
trinidad and tobago,1990,11869.528,97.0,8.71,1252215.0,5.964586934673367
tunisia,2010,12458.271,79.0,8.0,10765984.0,6.1981447761194035
turkey,1990,12184.199,79.0,5.22,56015627.0,6.122713065326633
turkey,2005,17902.596,88.0,6.86,69329557.0,8.928975561097257
turkey,2010,19897.447,93.0,7.44,73346766.0,9.89922736318408
turkey,2015,25984.803,96.0,8.13,80014222.0,12.895683870967742
uganda,2010,2244.606,73.0,5.87,32390801.0,1.1167194029850747
uruguay,2010,24879.836,98.0,8.61,3318581.0,12.378027860696518
uruguay,2015,28941.629,99.0,8.65,3368022.0,14.363091315136478
zambia,1990,2425.1113,65.0,5.02,7786163.0,1.218648894472362
zambia,2010,3266.5076,83.0,7.4,13965592.0,1.6251281592039801
